"","Ag","Al2O3","As","Ba","Be","CaO","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","Fe(II)O","Fe2O3T","Ga","Gd","Ge","Hf","Ho","K2O","La","Li","Lu","MgO","MnO","Mo","Na2O","Nb","Nd","Ni","P2O5","Pb","Pr","Rb","Sb","Sc","SiO2","Sm","Sn","Sr","Ta","Tb","Th","TiO2","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","name"
"1",2.01347256261408e-07,0.146131488981381,2.93370306850631e-06,0.000352264889170985,1.49472092276336e-06,0.0133863038081256,4.25877636618703e-07,4.16658412650848e-05,6.46422148288332e-06,3.53533463022084e-05,4.06294845267413e-06,1.53623022738019e-05,2.63283514449981e-06,1.49745628656369e-06,7.36014338977711e-07,0.0252542334265739,0.0305749248584147,1.72812614594227e-05,3.63508304491637e-06,2.13911069395971e-06,3.32290890242102e-06,5.44657142432568e-07,0.0294729761368566,2.28907462415969e-05,5.07006735002913e-05,2.14069610035784e-07,0.0104200976461758,0.00073733172763863,1.07092254824488e-06,0.0445964660652286,1.26326859875802e-05,1.61164076211498e-05,1.60667177970625e-05,0.00158699678001475,9.29571858851861e-06,4.54764705069741e-06,0.000149371167459597,7.66254838845155e-07,6.20790487171607e-06,0.693588753837118,3.47324943908708e-06,3.90582859024649e-06,9.14055429528372e-05,1.57106242002736e-06,4.91203050517133e-07,7.62250272545236e-06,0.00312150691907648,7.78985862332156e-07,2.05538755615883e-07,3.05512961830148e-06,3.68623344522225e-05,2.90268888103456e-06,1.62831885411837e-05,1.44500419490563e-06,4.07018734323055e-05,0.000136316239519575,"GeoPT1.csv"
"2",5.95293522289563e-07,0.147817983717906,8.12623351630705e-06,0.000129861113016332,5.46309308233078e-07,0.0633705837218403,1.79476824427075e-07,1.26415580739806e-05,2.3887952996556e-05,2.48198906959309e-05,1.47805645662112e-07,5.98561295208379e-05,3.3332234357e-06,2.33111887556742e-06,5.03980381143939e-07,0.0488761102661692,0.0882344542383511,1.28306090692159e-05,2.68036546656171e-06,1.64723345782052e-06,1.56687567547602e-06,8.06463102379191e-07,0.00198403487832056,5.77058143302143e-06,2.00564255435782e-05,4.04674979713831e-07,0.0471900693438344,0.00126722440077537,1.3787186892195e-06,0.0240436277900019,2.70505398712778e-06,7.24305381861863e-06,1.21756334172956e-05,0.000479761092111628,4.79509354462164e-06,1.63187705144012e-06,2.6471278969159e-06,3.05835498181713e-07,3.11724193364238e-05,0.571344109490055,2.05889266268573e-06,1.22860594257868e-06,0.000103165878368241,1.58732641284703e-07,4.83594583071828e-07,1.39057560083365e-06,0.00454006301472991,1.93888053304363e-08,3.64332053342274e-07,4.54594212626695e-07,0.000217269084981875,1.05041271999383e-06,2.17931229392023e-05,2.44713535436755e-06,7.1133190840726e-05,5.23123764176453e-05,"GeoPT14.csv"
"3",3.23179240736071e-07,0.128903724595941,1.25952253276996e-06,0.000534047436664128,4.5527645764017e-06,0.0107209943851622,1.55793740020509e-07,0.000129992353650982,2.06400562203488e-06,8.58123601818274e-06,4.09123292255078e-06,5.49212937699821e-06,9.26855731211884e-06,5.36935227118995e-06,1.62443658249944e-06,0.0201114429551407,0.0274950561332143,2.39289832849398e-05,1.02500533417954e-05,2.65072885529221e-06,7.65909712657406e-06,1.94804766220782e-06,0.0495746998894446,6.34730381658501e-05,3.16170313368691e-05,7.25039843804825e-07,0.00127875698114191,0.000545630553664535,2.12563796783991e-06,0.0350039941915842,4.90690019268292e-05,5.51386649823915e-05,7.3548611405792e-06,0.000294183236368662,2.40934823909381e-05,1.47074873630198e-05,0.000153600144493785,2.06060477365664e-06,5.28386475631636e-06,0.722301837994695,1.15822728822076e-05,1.76354506778726e-05,8.79486636757066e-05,9.70551312657827e-05,1.56768885115781e-06,2.2790032072042e-05,0.00196117729332244,8.36803481701811e-07,6.9588857693589e-07,3.19224805819929e-06,6.12517076479412e-06,1.67144921332544e-06,5.39015013467527e-05,4.84299712609546e-06,6.51035780351343e-05,0.000271045144368554,"GeoPT16.csv"
"4",1.73074438828855e-07,0.12929483915085,1.34679962746613e-06,0.000315349683228977,1.04144662543432e-06,0.083883481187321,2.41381733646803e-07,5.64124327387737e-05,4.03155177196667e-05,8.19088167197801e-05,6.70764689696058e-07,5.82221214116809e-05,5.51666681221051e-06,2.91760976427314e-06,2.08164589278053e-06,0.0778054853290442,0.122952596412836,2.1279212201856e-05,6.92391222440669e-06,1.28722578555643e-06,4.86713125973113e-06,1.13273028541746e-06,0.00910541016183429,2.80249885358666e-05,1.15607199678345e-05,3.50650381546292e-07,0.051843889568422,0.00158586860561759,2.95427289606707e-06,0.0220924756122662,1.76815233493694e-05,3.09069053972028e-05,4.80711229951302e-05,0.00281211377876449,1.40064349399398e-05,8.07051625944787e-06,2.32235221198258e-05,2.13767295313808e-07,2.58359762837558e-05,0.474358582579803,7.94727674155861e-06,1.76565067622843e-05,0.000376583286649611,1.19855962563176e-06,1.04049793705902e-06,2.9074470953422e-06,0.0224096951106389,1.51864486056729e-07,4.02439036072396e-07,7.4820513896271e-07,0.000312061892762901,1.09390878038231e-06,2.57858643366989e-05,2.32823634446199e-06,0.000106839121947984,0.000186228821376599,"GeoPT19.csv"
"5",1.03775814278749e-07,0.169323199001373,1.24135476201263e-06,0.000310578471730697,1.20798560849277e-06,0.0591297858957111,1.26441960669203e-07,3.2522745700888e-05,1.79975102132406e-05,3.73430978487308e-05,3.60808319007494e-07,2.98819271115788e-05,2.70486930575524e-06,1.46320483779563e-06,1.11845845695434e-06,0.0351611682360256,0.0591604277759265,1.97459793079255e-05,3.27633058164173e-06,9.70345238426108e-07,3.46940935861497e-06,5.42801495548637e-07,0.0122123466380219,1.54243270545824e-05,1.12865421309186e-05,1.96621354988948e-07,0.0304019371198857,0.000928317294033172,1.40205591033928e-06,0.0389009657255939,8.46548231819105e-06,1.76843577440077e-05,3.12563802191615e-05,0.0016735810980968,9.96464827091137e-06,4.15972323063595e-06,1.82308995530267e-05,7.41919293809881e-07,1.35148792341682e-05,0.583439144280953,3.47247198037643e-06,2.14106458083595e-06,0.000523452229934257,6.54223563142299e-07,5.04978165982594e-07,2.69367867204146e-06,0.00821606107299802,2.99354806796078e-07,2.18070571155935e-07,9.80245570096395e-07,9.99950030042224e-05,1.55738526674881e-06,1.56812352654224e-05,1.35375899053244e-06,6.27282738167449e-05,0.000140350533226432,"GeoPT2.csv"
"6",3.72774620214345e-07,0.110378463170973,2.24219611838725e-06,2.72716615785381e-05,9.0044853495431e-06,0.0018595656949818,4.14860670433159e-07,0.000200951631132402,8.08214363952649e-07,1.66331183788569e-05,7.70620241276186e-07,3.67982079626976e-06,1.80664146552966e-05,1.11674851004108e-05,1.12572643949395e-06,0.0320141062150991,0.037954162306504,3.11038352593274e-05,1.79336578278749e-05,1.51713378267354e-06,2.41321361959146e-05,3.95654541457603e-06,0.0431471228839044,9.39095195580407e-05,1.65703206204112e-06,1.61446197444622e-06,0.000319233214262604,0.000904271539658422,1.69125437795974e-06,0.0375766457521429,7.70353330625608e-05,8.17028881334601e-05,3.35954256127138e-06,0.000101693885953699,3.5829466171218e-05,2.02956913838104e-05,0.00016674589559997,3.11234248883232e-07,9.26956352996806e-07,0.731487821518452,1.82260067246441e-05,9.85925544195694e-06,1.12086601135057e-05,5.3874795353678e-06,2.86955079717996e-06,2.34628010242916e-05,0.00216909356260158,7.983250384284e-07,1.72361689253799e-06,5.30300258967841e-06,4.31375850147797e-06,2.2533591687227e-06,9.4525969093007e-05,1.10817024762922e-05,0.000151121045648462,0.000889454129008474,"GeoPT20.csv"
"7",3.27517842749918e-07,0.144169945841231,2.07670161866018e-06,0.000358952139496208,2.54034144806365e-06,0.0435962180250434,3.2067540796531e-07,5.13234009172949e-05,1.36326242846711e-05,5.27038321794909e-05,3.03857210065943e-06,2.76974874113155e-05,7.05640936849067e-06,4.76790400275268e-06,1.60313682493768e-06,0.0439052802759122,0.0575177583687767,1.60361926596191e-05,7.12930115864622e-06,1.62160255908124e-06,5.65148754033898e-06,1.54321364532892e-06,0.0262818164442084,2.4837345190714e-05,3.18304863586142e-05,6.71964791649889e-07,0.0227800257982801,0.00135059809910249,1.8257042629977e-06,0.034708769740926,1.26681164360796e-05,2.77074960406583e-05,2.27856515415258e-05,0.00171222973012188,1.42489718915576e-05,6.96599587090218e-06,9.48216475290672e-05,3.4763840425929e-07,1.77507794451667e-05,0.615182457958927,6.66880028373606e-06,2.34975127400948e-06,0.000100676427445106,1.1389885752725e-06,1.20985709164715e-06,7.62508229856626e-06,0.00746965779956375,4.37991087325077e-07,6.94437249266768e-07,2.14647198531858e-06,8.09032504947477e-05,2.46122590848754e-06,4.58251730297436e-05,3.75594528676782e-06,6.78486835739164e-05,0.000187015494093048,"GeoPT21.csv"
"8",1.93221379517811e-07,0.160316911175752,1.90076846013569e-06,1.40951331731065e-05,5.23642146121088e-05,0.0039823893437493,1.08046400518926e-07,2.33882821791937e-05,7.26681028600933e-07,0.000196930046335901,7.65792630793476e-05,6.06144464592307e-06,4.05357152407885e-06,1.71810102867995e-06,4.28267060232445e-08,0.00355699331634653,0.00466765113919371,5.53293228229867e-05,4.22644603002572e-06,5.386150068357e-06,7.55333529174908e-06,7.16856991311025e-07,0.0364431214379561,8.8353090471658e-06,0.00176632557211983,3.18967421194742e-07,0.000214240745811977,0.00160940804704947,4.58809821217657e-07,0.0551246239891011,6.38869907870566e-05,1.44727831814137e-05,1.43596364250218e-05,0.000212025640733683,6.07934899980663e-05,3.97897874171131e-06,0.00244812637868166,5.14264405411704e-07,8.87483905339958e-06,0.728632051687348,5.79447658933626e-06,3.32479654377298e-05,1.39753831697505e-05,4.52818770365789e-05,7.66687656655642e-07,1.3369922415609e-05,9.98987749160288e-05,1.42897322837008e-05,3.16749153301715e-07,3.56832291300075e-06,2.3680911347326e-06,4.85940733675064e-06,2.36346077010095e-05,2.38010311936961e-06,9.56078761552616e-05,3.89037684978022e-05,"GeoPT22.csv"
"9",1.10255277574041e-07,0.16180990271216,2.41769616526629e-06,0.00016504038098223,4.05983456986168e-07,0.11251092465257,1.09105834462785e-07,1.27501911006871e-05,4.31517409262138e-05,0.000279442458497184,4.53238238724997e-08,8.41449609467368e-05,3.06947251059767e-06,1.96666249424301e-06,9.10226603754607e-07,0.0659621299640956,0.0983510638531426,1.51001385542926e-05,2.62300214404348e-06,1.26391880331769e-06,1.55078030107949e-06,6.6652199061774e-07,0.00178631355635782,4.76046038713436e-06,5.64932909720704e-06,2.82571751930239e-07,0.0789180705945206,0.00151368464975386,7.37224098724488e-07,0.0190603540310535,4.23667626528537e-06,8.54307882385008e-06,0.00013750642162718,0.00127189252179647,3.2898581957255e-06,1.58288370771814e-06,2.09530536443231e-06,2.04544323210932e-07,3.31780031418225e-05,0.446538227273158,2.34613533251756e-06,1.19174033276305e-06,0.000154495248898942,3.37332158980798e-07,4.91474829874909e-07,3.92018687027928e-07,0.010933904522423,3.04820366674853e-08,2.78725445467797e-07,3.05099302746498e-07,0.00022624606537302,4.83011636003023e-07,1.82355126601426e-05,1.93902531778911e-06,6.84907080293471e-05,5.14339117294342e-05,"GeoPT23.csv"
"10",4.62558362703611e-07,0.21136378892459,1.77535481390681e-06,5.48900866930224e-05,1.85990668471417e-07,0.148605299315784,2.38005761861515e-07,3.66785210020869e-06,3.56187924314095e-05,3.89654788121795e-05,3.64308497484319e-07,0.000575052796508194,7.79998301108848e-07,4.27232634294189e-07,3.62585259017157e-07,0.047317353166345,0.103815031466241,1.87331117242445e-05,8.23152605864348e-07,1.37221832643121e-06,3.99564467798728e-07,1.64075468994637e-07,0.000970972433438093,1.55057479089649e-06,3.80134627018558e-06,6.17861291621728e-08,0.0452402808110029,0.000996055302618552,7.79219408211679e-07,0.0124593851981597,4.66048229612759e-07,2.86445108546858e-06,2.03794212319973e-05,0.00039026239150701,4.3514771154212e-06,5.86583393866432e-07,1.90344941180315e-06,2.61644097938899e-07,4.02867228058835e-05,0.417383966181041,8.16882782664823e-07,7.62686395322545e-07,0.000767460095108816,7.99633958139897e-08,1.2812373814721e-07,1.49178636895845e-07,0.00933160263155945,1.58133438015834e-08,5.90660522081335e-08,7.75871910972795e-08,0.000436424509483304,2.28092917768118e-06,4.35986782844155e-06,4.23527115943063e-07,9.03912051247751e-05,1.09968549305665e-05,"GeoPT25.csv"
"11",2.42898787944451e-07,0.0761612549226081,8.93172800577829e-07,8.14928121099792e-06,1.24562209520749e-07,0.075354119784818,1.46362119687456e-07,1.5644725286596e-06,8.32317249348655e-05,0.00232113323651965,1.85885835829656e-07,4.04829249528703e-05,1.56834900649288e-06,1.04658980369868e-06,3.04378793490776e-07,0.0836283755110603,0.114466568174401,8.31972655983156e-06,1.19243394972354e-06,1.19232086711618e-06,5.8464232576653e-07,3.65515171842656e-07,0.000472462923154308,6.36840765900934e-07,5.36988753168584e-06,1.61631958397243e-07,0.207327660833293,0.00170961269070658,3.51489072470186e-07,0.010054460224499,4.96828680786847e-07,1.60367796587161e-06,0.000821065769396051,0.000272493623168909,8.37597126600009e-07,2.45028335033129e-07,1.15152310504354e-06,3.60726761393333e-07,2.6888871754017e-05,0.42325817425197,8.01701897674651e-07,7.72988303653374e-07,1.5665330129856e-05,4.37977549169644e-08,2.32932236730992e-07,7.46388109993112e-08,0.0036989372347086,1.73348918297207e-08,1.58343286166759e-07,1.55643529560035e-08,0.000165757711747356,1.43065405964414e-07,8.92532987678666e-06,1.02627869995328e-06,5.65248077682016e-05,1.58216496174485e-05,"GeoPT29.csv"
"12",2.87866957603874e-07,0.139310812423794,2.63216394337966e-06,0.000338248920719864,8.44465965994874e-06,0.011382429363604,2.44627262138623e-07,5.97844548197444e-05,3.02114615534887e-06,0.000183185835598398,1.68408774432688e-05,7.170422642548e-06,4.15013023316572e-06,2.23934485322272e-06,5.62672660722106e-07,0.0185217236396764,0.0242333726539445,2.2604570062383e-05,4.72558786352791e-06,1.13472580976805e-06,4.42244614993204e-06,8.11678050905852e-07,0.0456358732939276,2.88313572791521e-05,0.000120059308246977,3.26787744711202e-07,0.00370896355807808,0.000619237963719701,3.01315703347123e-06,0.0356943271791758,1.51667301751706e-05,2.54051061408289e-05,5.30406793371383e-06,0.0012108583377729,2.52387691385247e-05,6.83580258304555e-06,0.000264586017711519,2.88112388982942e-07,4.35062019231178e-06,0.71515223028183,5.28243399863688e-06,1.14146510374282e-05,0.000111338523354974,2.47869755566903e-06,7.54924164057613e-07,1.85350035240181e-05,0.00294974612084653,1.59909779261887e-06,3.35961338927538e-07,5.1934366099624e-06,1.38994883976052e-05,7.99912381044258e-07,2.42993704579846e-05,2.18117507483154e-06,5.43969586959062e-05,0.000167997581792561,"GeoPT3.csv"
"13",3.76551808648983e-07,0.13545622454325,2.48271890935405e-06,0.000717448267357965,2.72569451807122e-06,0.0517297324338403,3.09042146772258e-07,9.88832649970973e-05,3.34810030842441e-05,0.000209370323095699,1.31809949144708e-06,3.11732795256557e-05,4.38161955065621e-06,1.81777151595153e-06,2.4554543368981e-06,0.0606749120473285,0.0916783884996983,2.1111957023578e-05,7.01347584204268e-06,1.30593506569458e-06,6.09888311493199e-06,7.66070066194154e-07,0.0381147157793898,5.2558197037629e-05,1.12999778759004e-05,1.7440616031473e-07,0.0586525197548682,0.00123666385164539,4.61554948111548e-06,0.0411497439829879,4.60790280236948e-05,4.3662351318792e-05,0.000148543415431146,0.00794755138367624,7.88736794881509e-06,1.11712264557976e-05,5.94486377765768e-05,3.63597635382888e-07,8.95766186312811e-06,0.490433905899632,8.15028074931687e-06,2.58617707559079e-06,0.00087139371640633,2.82285750431899e-06,8.83841087774954e-07,6.23008806197699e-06,0.0199966393163383,1.43258818294089e-07,2.14696494595319e-07,1.67976029238535e-06,0.000100605275578025,1.54958092049183e-06,1.96346265409296e-05,1.3998426623186e-06,0.000107039017104127,0.000267388659588939,"GeoPT32.csv"
"14",3.08152517577775e-07,0.125472934665295,3.38273055785181e-06,1.11379871810992e-05,4.30492333441479e-05,0.00313767252165037,2.29029470084833e-07,6.7994186351095e-06,5.87799883201327e-07,1.44397240324032e-05,0.000423009642253268,2.72998666796665e-06,1.45207282266999e-06,2.80331183801519e-07,4.75473163719809e-08,0.00652615343985164,0.00771709712980588,5.32875929186154e-05,2.34051283438727e-06,3.72720996832411e-06,1.23594661306367e-06,1.52639276503092e-07,0.0139655579895348,2.57258184712685e-06,0.000570769700541927,3.4532687761072e-08,0.00120445457052877,0.00103314886404677,5.59765377672117e-07,0.0412254493737445,0.000142707026608151,5.09673875829698e-06,3.53079781646332e-06,0.000300629451634416,7.1863683797179e-06,1.26410561258987e-06,0.00181839511974317,8.0731139284989e-06,3.0621268263204e-06,0.795349316867516,2.82368480616849e-06,0.000118193380679637,2.05123195525885e-05,0.000113713737227021,4.14565815244184e-07,5.11496668364688e-06,0.000605795967833677,1.24680452818302e-05,3.99661880647187e-08,4.02990722635984e-06,2.61893292208385e-06,5.63137966563484e-06,1.0862789789631e-05,2.94044186353327e-07,2.79836615004616e-05,5.63824142990202e-06,"GeoPT34.csv"
