"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
"1",0.719649053688451,5.99707544740376e-05,0.1589224993562,0.00599707544740376,0.00349016751795441,0.00157922986781632,0.000199902514913459,0.0040980015557259,0.0522745076498694,0.0358825014269658,0.000299853772370188,1.89555522104104e-07,1.86470681579814e-06,1.31935659842883e-05,5.13708188953349e-05,2.2584569353681e-05,1.05996525563787e-07,2.69868395133169e-05,9.99512574567294e-07,0.000175914213123844,7.09653927942778e-05,1.49926886185094e-05,3.99805029826917e-06,1.49926886185094e-06,1.99902514913459e-08,0.0127053075574248,5.42796112396865e-05,3.29839149607207e-06,5.28396354304402e-06,7.09653927942778e-06,1.15735835665483e-08,6.39688047723068e-07,2.29947889874878e-07,8.09605185399508e-06,0.0017328220609474,2.99853772370188e-07,3.99805029826917e-07,5.80716805823597e-05,1.51925911334229e-05,1.55923961632498e-05,5.96401611364213e-05,4.22793819041965e-06,0.00214995154789425,4.99756287283647e-07,9.1955156860191e-06,5.89712418994703e-06,4.69770910046628e-05,1.35933710141152e-05,4.49780658555282e-05,6.7966855070576e-07,1.17942483798941e-05,1.40186247745169e-05,3.19844023861534e-07,3.49829401098553e-06,1.59922011930767e-06,4.29790407063936e-06,2.19892766404805e-05,2.05899590360862e-06,7.89614933908162e-05,3.69819652589899e-05,4.47694603535886e-05
"2",0.716551158105689,0.000169315027976881,0.1574629760185,0.00506949113177838,0.00836615432356354,0.00148399642167972,0.000169315027976881,0.00385440681335606,0.0539816148020409,0.0351776869890791,8.96373677524665e-05,1.89555522098454e-07,1.86470681574256e-06,1.11150336013058e-05,5.13708188938037e-05,2.25845693530079e-05,1.05996525560627e-07,2.64729026095618e-05,4.82049844357709e-07,0.000196206238302621,7.28552605676992e-05,5.38820177267604e-06,4.43206984998307e-06,1.75788837870115e-06,2.689121032574e-08,0.0127053075570461,5.35832265009189e-05,4.13626653639993e-06,5.28396354288653e-06,7.46978064603888e-06,1.15735835662033e-08,6.52360843087395e-07,2.29947889868024e-07,7.62913596648771e-06,0.00173282206089575,3.39626026706568e-07,4.50105157398686e-07,6.83634324725478e-05,1.52383525179193e-05,1.29177406638832e-05,6.46783406871686e-05,4.29462588609595e-06,0.00225388181359813,5.04507659714754e-07,9.45176244412119e-06,6.05849008931393e-06,3.26172631644533e-05,1.28878615412991e-05,4.69899001173486e-05,8.1669601730025e-07,1.24496344100648e-05,1.4018624774099e-05,3.29666319178516e-07,3.64226504300856e-06,1.21608028917513e-06,4.76721484674042e-06,2.4968986772826e-05,2.35845874264267e-06,7.96477811018305e-05,3.93806835659169e-05,0
"3",0.7127,0.00035,0.1559,0.0046,0.0037,0.00162,3e-04,0.0038,0.0555,0.0365,0.00015,1.89555522104104e-07,9.6e-07,1.38277348503984e-05,6.66e-05,1.9e-05,1.05996525563787e-07,2.85e-05,7.12894431653659e-07,0.00019,7.51263902626567e-05,6.5e-06,4.54e-06,1.85e-06,3.1e-07,0.01349,5.42796112396865e-05,4.45e-06,5.28396354304402e-06,7.41003152574269e-06,1.3e-08,7.03256655847865e-07,2.29947889874878e-07,8.05e-06,0.001742,3e-07,4.50105157412101e-07,6.15e-05,1.57e-05,1.4087204495371e-05,6.3e-05,4.6e-06,0.002287,5.3e-07,8.70646583691898e-06,5.91e-06,4.9e-05,1.7e-05,4.44228215684003e-05,7.52141822226229e-07,1.3e-05,1.40186247745169e-05,3.10739688219285e-07,9e-06,0,4.76721484688251e-06,2.29e-05,2.5e-06,9.5e-05,3.4e-05,0.00639090229936345
"4",0.710696716941057,9.80045175273367e-05,0.163719680644884,0.0067807070615228,0.0034901675127615,0.00167060898617228,0.000491355584168319,0.00363603132284556,0.056702434413024,0.035082788709618,0.000208005656080062,1.89555521822071e-07,1.86470681302371e-06,1.0996537973687e-05,6.94776796014003e-05,2.25845693200782e-05,1.05996525406078e-07,2.68574962306403e-05,8.84440051502974e-07,0.000196542233667328,7.68480133639251e-05,3.93084467334655e-06,4.32392914068121e-06,1.75905299132258e-06,9.82711168336638e-09,0.012705307538521,4.88407450663309e-05,3.70482110462913e-06,5.28396353518219e-06,7.72410978312598e-06,1.15735835493284e-08,6.68243594468914e-07,2.29947889532746e-07,7.73393689480934e-06,0.00173282205836919,3.24294685551091e-07,4.50105156742405e-07,6.43675815260498e-05,1.53794297844684e-05,1.27752451883763e-05,2.87934372322635e-05,4.23548513553091e-06,0.00207548598752698,5.04507658979151e-07,1.48389386418832e-05,5.88643989833646e-06,3.26172631168953e-05,1.3679339463246e-05,4.52047137434854e-05,8.1565026971941e-07,4.86442028326636e-06,7.37033376252479e-06,3.24294685551091e-07,1.41510408240476e-06,1.0809822851703e-06,4.76721483978953e-06,2.50099992341674e-05,2.28971702222437e-06,9.37940659894452e-05,3.85222777987962e-05,0
"5",0.686,9.80045176731543e-05,0.132,0.00403,0.00349016751795441,0.00138,0,0.0037,0.0540794452410085,0.0316,0.000208005656389547,1.89555522104104e-07,1.86470681579814e-06,1e-05,5.13708188953349e-05,2.3e-05,4.5e-06,2.5e-05,7.12894431653659e-07,0.00017,8.1e-05,1.8e-05,3.97666604785562e-06,1.68550469727799e-06,4.20141887945116e-08,0.0127053075574248,7.8e-05,4.14626195238653e-06,8.5e-06,7.41003152574269e-06,1.15735835665483e-08,7.03256655847865e-07,2.29947889874878e-07,7e-06,0.0017328220609474,3.12915870811662e-07,4.50105157412101e-07,5.1e-05,1.4e-05,1.3e-05,4.5e-05,2e-06,0.00222,5.04507659729791e-07,8.70646583691898e-06,5.6845421322866e-06,3.26172631654254e-05,9e-06,4.44228215684003e-05,7.52141822226229e-07,1.31162737175671e-05,1.40186247745169e-05,3.10739688219285e-07,0,0,4.76721484688251e-06,2.5e-05,2.33494720514563e-06,8.6e-05,3e-05,0.0658559056529505
"6",0.72071148850942,4.96357774455523e-05,0.158834487825767,0.0042686768603175,0.00349016751795441,0.00157841772276856,0,0.00380210055232931,0.054996441409672,0.0349435873216688,0.000178688798803988,1.89555522104104e-07,1.28060305809525e-06,1.4195832349428e-05,6.11512778129205e-05,1.96557678684387e-05,1.05996525563787e-07,2.40237162836473e-05,5.55920707390186e-07,0.000140965607945369,6.28388942460692e-05,4.43743850363238e-06,3.67304753097087e-06,1.4195832349428e-06,4.20141887945116e-08,0.0122104012516059,4.41758419265416e-05,3.64326606450354e-06,7.13762479667043e-06,6.63133986672579e-06,1.15735835665483e-08,5.36066396411965e-07,2.29947889874878e-07,7.18726057411598e-06,0.0017328220609474,2.87887509184204e-07,4.50105157412101e-07,6.4526510679218e-05,1.39972892396458e-05,1.12176857026948e-05,5.3110281866741e-05,3.51421304314511e-06,0.00234975770427245,3.77231908586198e-07,9.53999642503516e-06,4.97350490004434e-06,3.88151779624219e-05,1.08205994831304e-05,4.35802125971949e-05,6.84973728748622e-07,1.10191425929126e-05,1.21111296967148e-05,2.87887509184204e-07,3.37523286629756e-06,1.18133150320415e-06,4.76721484688251e-06,2.17404705211519e-05,2.02513971977854e-06,0.000101256985988927,3.55392166510155e-05,3.90880517953107e-08
"7",0.7158,5.6e-05,0.1598,0.00462,0.00349016751795441,0.00154,0.000134,0.00375,0.0538,0.0358,0.00023,1.6e-07,1.86470681579814e-06,1.237e-05,7.19e-05,2.28e-05,5e-08,2.663e-05,5.3e-07,0.000212,7.57e-05,4e-06,4.54e-06,1.89e-06,3.1e-08,0.0127053075574248,5.73e-05,4.21e-06,5.28396354304402e-06,8.56e-06,1.15735835665483e-08,6.71e-07,2.29947889874878e-07,8.23e-06,0.001584,3.3e-07,3.54e-07,6.07e-05,1.54e-05,1.82e-05,6.81e-05,4.31e-06,0.002435,3.86e-07,9.49e-06,6.04e-06,4.18e-05,1.34e-05,3.53e-05,8.2e-07,1.3e-05,1.55e-05,3.24e-07,3.76e-06,1.9e-06,4.36e-06,2.35e-05,2.37e-06,9.09e-05,3.98e-05,0.00326625873278852
"8",0.721062206264871,5.97565364307904e-05,0.155366994720055,0.00497971136923253,0.00438214600492463,0.00164330475184674,0.000139431918338511,0.00400368794086296,0.0540796654698653,0.0363518929953975,0.000248985568461627,1.89555522104104e-07,1.89229032030836e-06,1.15529303766195e-05,5.92585652938672e-05,2.5097745300932e-05,1.05996525563787e-07,2.95794855332412e-05,4.97971136923253e-07,0.000219107300246231,7.88786280886433e-05,6.97159591692555e-06,4.78052291446323e-06,1.79269609292371e-06,2.98782682153952e-08,0.0124791566912967,5.73662749735588e-05,4.28255177753998e-06,6.97159591692555e-06,8.66469778246461e-06,1.15735835665483e-08,7.2703785990795e-07,2.58944991200092e-07,8.76429200984926e-06,0.00167318302006213,3.68498641323207e-07,3.98376909538603e-07,7.6687555086181e-05,1.54371052446209e-05,1.49391341076976e-05,6.77240746215625e-05,4.70084753255551e-06,0.00246993683913934,4.18295755015533e-07,8.96348046461856e-06,6.17484209784834e-06,5.57727673354044e-05,1.29472495600046e-05,5.45776366067886e-05,8.76429200984926e-07,1.34452206969278e-05,1.61342648363134e-05,3.38620373107812e-07,4.18295755015533e-06,9.95942273846507e-07,5.47768250615579e-06,2.46993683913934e-05,2.48985568461627e-06,9.85982851108042e-05,4.68092868707858e-05,1.32516220219259e-12
"9",0.717180845187664,9.96721301369853e-05,0.160362490177396,0.0047344261815068,0.00349016751795441,0.00157481965616437,0,0.00361809832397257,0.0549791469835611,0.0360414422575339,0.000199344260273971,1.89555522104104e-07,1.29573769178081e-06,3.4187540636986e-05,5.13708188953349e-05,2.2584569353681e-05,1.05996525563787e-07,2.56157374452052e-05,7.12894431653659e-07,0.000220574423993149,7.51263902626567e-05,4.98360650684927e-06,3.97666604785562e-06,1.68550469727799e-06,4.20141887945116e-08,0.0127053075574248,5.15304912808214e-05,4.14626195238653e-06,5.28396354304402e-06,7.41003152574269e-06,1.15735835665483e-08,7.03256655847865e-07,2.29947889874878e-07,3.55829504589038e-05,0.0017328220609474,3.12915870811662e-07,4.50105157412101e-07,6.34911468972596e-05,1.41982025459647e-05,8.67147532191772e-06,6.47868845890405e-05,3.90348851511872e-06,0.00231767604207532,5.04507659729791e-07,8.27278680136978e-06,5.6845421322866e-06,3.26172631654254e-05,1.32563933082191e-05,4.44228215684003e-05,7.52141822226229e-07,8.97049171232868e-06,1.40186247745169e-05,3.10739688219285e-07,0,0,4.76721484688251e-06,3.45862291575339e-05,2.33494720514563e-06,9.00039335136977e-05,0,7.48740460743136e-08
"10",0.720623379449017,9.92594186568894e-05,0.16179285241073,0.0046651926768738,0.000694815930598226,0.00148889127985334,0,0.00397037674627557,0.055585274447858,0.0353363530418526,0.000297778255970668,1.89555522104104e-07,1.86470681579814e-06,1.09185360522578e-05,6.05482453807025e-05,3.57333907164802e-05,1.05996525563787e-07,2.2432628616457e-05,7.12894431653659e-07,0.000182637330328676,7.14667814329603e-05,7.94075349255115e-06,2.38222604776535e-06,1.09185360522578e-06,4.20141887945116e-08,0.0103229795403165,5.16148977015825e-05,2.68000430373601e-06,9.92594186568894e-07,7.04741872463915e-06,1.15735835665483e-08,3.97037674627557e-07,2.29947889874878e-07,5.85630570075647e-06,0.00174398798580155,1.98518837313779e-07,4.50105157412101e-07,0.000107200172149441,1.13155737268854e-05,2.48148546642223e-05,6.35260279404092e-05,2.48148546642223e-06,0.00238222604776534,5.04507659729791e-07,1.98518837313779e-06,3.97037674627558e-06,2.68000430373601e-05,2.08444779179468e-05,3.17630139702046e-05,3.97037674627557e-07,8.53631000449249e-06,1.40186247745169e-05,1.98518837313779e-07,3.37482023433424e-06,0,4.76721484688251e-06,1.09185360522578e-05,1.09185360522578e-06,0.000151866910545041,3.87111732761869e-05,7.30011051608415e-10
"11",0.69,6e-05,0.15,0.0028,0.00349016751795441,0.0015,0.00015,0.0034,0.056,0.047,0.00014,1.89555522104104e-07,1.86470681579814e-06,9.1e-06,4.4e-05,1.34e-05,1.05996525563787e-07,1.33e-05,7.12894431653659e-07,0.000194,7.51263902626567e-05,4.7e-06,3.97666604785562e-06,1.68550469727799e-06,4.20141887945116e-08,0.0127053075574248,5.42796112396865e-05,4.14626195238653e-06,5.28396354304402e-06,7.41003152574269e-06,1.15735835665483e-08,7.03256655847865e-07,2.29947889874878e-07,4.2e-06,0.0017328220609474,3.12915870811662e-07,4.50105157412101e-07,5.6e-05,8.8e-06,1.4087204495371e-05,3.6e-05,3.90348851511872e-06,0.0024017301071384,3.6e-06,6.3e-06,5.6845421322866e-06,8.6e-06,9.1e-06,4.44228215684003e-05,7.52141822226229e-07,1.31162737175671e-05,1.40186247745169e-05,3.10739688219285e-07,0,0,4.76721484688251e-06,1.5e-05,4.5e-06,7.2e-05,3.2e-05,0.0278057783090643
"12",0.7136,2e-04,0.1594,0.00508,0.00349016751795441,0.00164,0.00144,0.00443,0.05375,0.03527,0.00031,1.89555522104104e-07,1.86470681579814e-06,1.55e-05,5.85e-05,2.2584569353681e-05,1.05996525563787e-07,2.614e-05,4.1e-07,0.0001983,9.008e-05,5.94644763168052e-06,4.17e-06,1.83e-06,2e-08,0.0127053075574248,5.183e-05,3.72e-06,5.28396354304402e-06,8e-06,1.15735835665483e-08,6.9e-07,2.29947889874878e-07,7.67e-06,0.0017328220609474,3.1e-07,2.8e-07,6.35e-05,1.5e-05,1.27e-05,5.181e-05,4.23e-06,0.00271322,5.04507659729791e-07,8.7e-06,5.79e-06,4.645e-05,1.37102485859161e-05,5.101e-05,7.8e-07,1.318e-05,1.313e-05,3.1e-07,3.73e-06,0,4.76721484688251e-06,2.56e-05,2.31e-06,8.19e-05,2.755e-05,0.00328815413171557
"13",0.716542373744756,7.93655972137573e-05,0.160864144852634,0.00456352183979105,0.0034901675165623,0.00162401853298651,0.000396827986068787,0.00415677315407054,0.0541769407980411,0.0358534085413149,0.000267858890596431,1.89555522028497e-07,1.86470681505438e-06,1.35913585228559e-05,5.13708188748448e-05,2.25845693446728e-05,1.05996525521508e-07,2.70934307488464e-05,7.1289443136931e-07,0.000181251182636918,7.46056455208622e-05,5.9524197910318e-06,4.77284860244233e-06,1.86608360448847e-06,3.57145187461908e-08,0.0127053075523571,5.4464641087941e-05,4.28177396968221e-06,5.28396354093643e-06,7.81651925558993e-06,1.1573583561932e-08,7.18258654784504e-07,2.29947889783159e-07,8.55263516974753e-06,0.00173282206025624,3.40279998053985e-07,4.5010515723257e-07,6.54498318122902e-05,1.44584276724162e-05,1.40872044897521e-05,6.66680937295213e-05,4.04962959783197e-06,0.00260157451456801,5.0450765952856e-07,1.12004699067915e-05,6.39389092553333e-06,3.26172631524155e-05,1.48810494775795e-05,4.78524947700698e-05,8.89886758759254e-07,1.37887804459252e-05,1.40186247689253e-05,3.31351368367437e-07,3.67462715099697e-06,0,4.76721484498103e-06,2.55785399120288e-05,2.30061024923379e-06,9.60323726286464e-05,3.72026236939488e-05,0
