"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
"14",0.717180845187664,9.96721301369853e-05,0.160362490177396,0.0047344261815068,0.00349016751795441,0.00157481965616437,0,0.00361809832397257,0.0549791469835611,0.0360414422575339,0.000199344260273971,1.89555522104104e-07,1.29573769178081e-06,3.4187540636986e-05,5.13708188953349e-05,2.2584569353681e-05,1.05996525563787e-07,2.56157374452052e-05,7.12894431653659e-07,0.000220574423993149,7.51263902626567e-05,4.98360650684927e-06,3.97666604785562e-06,1.68550469727799e-06,4.20141887945116e-08,0.0127053075574248,5.15304912808214e-05,4.14626195238653e-06,5.28396354304402e-06,7.41003152574269e-06,1.15735835665483e-08,7.03256655847865e-07,2.29947889874878e-07,3.55829504589038e-05,0.0017328220609474,3.12915870811662e-07,4.50105157412101e-07,6.34911468972596e-05,1.41982025459647e-05,8.67147532191772e-06,6.47868845890405e-05,3.90348851511872e-06,0.00231767604207532,5.04507659729791e-07,8.27278680136978e-06,5.6845421322866e-06,3.26172631654254e-05,1.32563933082191e-05,4.44228215684003e-05,7.52141822226229e-07,8.97049171232868e-06,1.40186247745169e-05,3.10739688219285e-07,0,0,4.76721484688251e-06,3.45862291575339e-05,2.33494720514563e-06,9.00039335136977e-05,0,7.48740460743136e-08
"15",0.714918745274597,5.8e-05,0.131,0.00446,0.00349016751795441,0.00157,0.000128,0.00371,0.0541,0.0368,0.00016,2e-07,2.7e-06,1.28e-05,3.9e-05,2.2584569353681e-05,1.05996525563787e-07,2.29445888690474e-05,6e-07,0.000213,7.59e-05,5.9e-06,3.97666604785562e-06,1.68550469727799e-06,4.20141887945116e-08,0.0127053075574248,5.42796112396865e-05,4.14626195238653e-06,5.28396354304402e-06,7.41003152574269e-06,1.15735835665483e-08,7.03256655847865e-07,2.29947889874878e-07,6.2e-06,0.00181,3.7e-07,7e-07,6.26749457996001e-05,1.41982025459647e-05,1.57e-05,6.65e-05,3.90348851511872e-06,0.0024017301071384,4e-07,6.6e-06,5.6845421322866e-06,1.59e-05,1.42e-05,4.44228215684003e-05,7.52141822226229e-07,1.22e-05,1.49e-05,3.10739688219285e-07,3e-06,1.5e-06,1.7e-05,1.76e-05,2.33494720514563e-06,0.000105,5.33e-05,0.031724193727536
"16",0.718484253033394,6.36002658286821e-05,0.159497541648492,0.00447189369107921,0.00349016751747541,0.00159000664571705,0.000109312956893047,0.00467064452179384,0.0537620997083079,0.0363714020207776,0.0001888132891789,1.89555522078089e-07,1.59000664571705e-06,1.17262990121633e-05,6.10165050293919e-05,2.20613422093241e-05,4.96877076786579e-08,2.18625913786095e-05,5.96252492143895e-07,0.000173906976875303,7.53265648408454e-05,5.46564784465237e-06,3.67689036822069e-06,1.59000664571705e-06,3.27938870679142e-08,0.0127053075556811,5.29670963854493e-05,3.08063787607679e-06,5.28396354231883e-06,8.54628572072916e-06,9.93754153573159e-09,5.76377409072432e-07,2.08688372250363e-07,6.45940199822553e-06,0.00171919468568156,3.08063787607679e-07,2.98126246071948e-07,5.96252492143895e-05,1.24219269196645e-05,1.40119335653815e-05,5.76377409072432e-05,3.47813953750605e-06,0.00199744584868205,3.18001329143411e-07,7.75128239787064e-06,5.06814618322311e-06,1.98750830714632e-05,9.93754153573159e-06,4.17376744500727e-05,6.75752824429748e-07,1.10306711046621e-05,1.50056877189547e-05,2.78251163000484e-07,3.47813953750605e-06,5.56502326000969e-06,4.17376744500727e-06,1.70925714414583e-05,2.08688372250363e-06,8.54628572072916e-05,4.47189369107921e-05,0
"17",0.719922079125078,9.80045176638998e-05,0.160900345811368,0.00467675711387404,0.00349016751762483,0.00159208752812733,0,0.00407972429082629,0.0515438337231224,0.035722463912357,0.000298516411523875,1.89555522086205e-07,1.86470681562206e-06,1.79109846914325e-05,5.13708188904839e-05,2.25845693515484e-05,1.05996525553778e-07,2.58714223320691e-05,7.1289443158634e-07,0.000193193979311397,7.51263902555625e-05,5.946447631119e-06,3.73145514404843e-06,1.55228533992415e-06,4.20141887905442e-08,0.012705307556225,5.42796112345609e-05,3.5722463912357e-06,5.28396354254506e-06,7.41003152504297e-06,1.15735835654554e-08,5.97032823047749e-07,2.29947889853164e-07,7.73157505846835e-06,0.00173282206078377,3.0846695857467e-07,4.50105157369598e-07,5.27378993692178e-05,1.45277986941619e-05,1.40872044940408e-05,5.96401611307895e-05,4.05982319672469e-06,0.002275690110517,5.04507659682151e-07,8.70646583609683e-06,5.37329540742974e-06,5.07477899590587e-05,1.37102485846214e-05,5.27378993692178e-05,7.16439387657299e-07,1.89060393965121e-05,1.40186247731931e-05,2.98516411523875e-07,0,0,4.76721484643234e-06,3.28368052676262e-05,2.1393676159211e-06,9.37940661201414e-05,3.78120787930241e-05,0
"18",0.7158,9.80045176731543e-05,0.1592,0.005,0.0045,0.0016,0,0.0038,0.0537,0.035,1e-04,1.89555522104104e-07,9e-06,4.7e-05,5.13708188953349e-05,2.8e-05,1.05996525563787e-07,2e-06,1.1e-05,0.000209,8.5e-05,8e-06,3e-06,2e-06,3e-06,0.014268,5.7e-05,1.8e-05,5.28396354304402e-06,4e-06,1.15735835665483e-08,6e-06,2.29947889874878e-07,2.3e-05,0.001796,3.12915870811662e-07,4.50105157412101e-07,5.7e-05,1.6e-05,1.5e-05,6.8e-05,4e-06,0.002365,5.04507659729791e-07,9e-06,6e-06,5.1e-05,1e-05,6.4e-05,1e-06,2.4e-05,1.40186247745169e-05,3.10739688219285e-07,1e-06,7e-06,1e-06,1.9e-05,4e-06,9.6e-05,3.5e-05,0.00162620673321667
"19",0.723755672073985,9.80045175955198e-05,0.159174805408289,0.00488703255883746,0.00349016751518966,0.00147402399041858,0,0.00431325140820472,0.0525306536182731,0.0322504577769435,0.000208005656224775,1.89555521953947e-07,1.86470681432101e-06,1.38277348394447e-05,5.13708188546413e-05,2.25845693357906e-05,1.05996525479821e-07,2.35942766251565e-05,7.12894431088938e-07,0.000205769791951051,7.51263902031451e-05,5.94644762697003e-06,4.07582472518428e-06,1.65704039191351e-06,4.20141887612299e-08,0.0127053075473603,5.42796111966888e-05,3.94721860521487e-06,5.28396353885832e-06,7.41003151987282e-06,1.15735835573803e-08,6.28191432158256e-07,2.29947889692724e-07,6.80623157991937e-06,0.00173282205957474,3.21515299923517e-07,2.33469571636769e-06,7.01397992756226e-05,1.22175813970936e-05,1.40872044842118e-05,6.73698213070508e-05,3.79882692832709e-06,0.00240691299911974,5.04507659330144e-07,8.70646583002213e-06,5.20360146953138e-06,3.26172631395876e-05,1.33552509198999e-05,4.44228215332107e-05,7.81529498275626e-07,1.89545635277987e-05,1.4018624763412e-05,3.11622521464332e-07,4.97606756497012e-06,0,4.76721484310615e-06,3.07665410080658e-05,2.31985654867891e-06,9.37940660546991e-05,4.16485973131694e-05,0
"20",0.719485213295155,0.000138977827470854,0.159874493615752,0.00469925028138859,0.00349016751795441,0.00157974796693489,0.000179971287372329,0.00359942574744658,0.0530915297748371,0.0355943212803051,9.99840485401828e-05,2.0796682096358e-07,1.50975913295676e-06,1.17981177277416e-05,5.93005391891824e-05,2.31962992613224e-05,2.09966501934384e-08,2.21964587759206e-05,3.89937789306713e-07,0.000200268049225986,7.80275514807587e-05,4.99920242700914e-06,2.85354474533682e-06,1.12981974850407e-06,1.99968097080366e-08,0.0127053075574248,5.74908279106051e-05,2.82954857368717e-06,6.09902696095115e-06,9.298516514237e-06,1.15735835665483e-08,4.29931408722786e-07,2.29947889874878e-07,6.54895517938197e-06,0.00188269963401164,2.03967459021973e-07,5.07918966584129e-07,6.00904131726499e-05,1.15881512258072e-05,1.60974318149694e-05,7.08886904149896e-05,3.10250502620187e-06,0.00251259913981479,4.22932525324973e-07,1.02983569996388e-05,4.28331663946143e-06,4.76923911536672e-05,1.35978306014649e-05,4.45928856489215e-05,5.07419046341428e-07,1.60974318149694e-05,1.49976072810274e-05,3.10739688219285e-07,3.39945765036622e-06,3.09950550474567e-06,5.7990748153306e-06,2.48960280865055e-05,1.51475833538377e-06,9.68845430354371e-05,4.2093284435417e-05,4.59939577549529e-05
"21",0.717390225964245,0.0001199983650902,0.15889783510694,0.00479993460360799,0.00469993596603283,0.00157997847368763,0,0.00409994414058183,0.05399926429059,0.0356995136143345,0.000279996185210466,1.89555522104104e-07,1.86470681579814e-06,1.05998555829677e-05,5.99991825450999e-05,2.2584569353681e-05,1.05996525563787e-07,2.96995953598245e-05,7.12894431653659e-07,0.000195997329647326,7.34989986177474e-05,6.99990463026166e-06,4.21994250567203e-06,1.76997588508045e-06,1.99997275150333e-08,0.0129418236749781,6.29991416723549e-05,4.17994305064196e-06,5.28396354304402e-06,7.41003152574269e-06,1.15735835665483e-08,7.19990190541199e-07,2.29947889874878e-07,9.24987397570291e-06,0.0017328220609474,3.69994959028116e-07,4.50105157412101e-07,6.20991539341784e-05,1.51997929114253e-05,1.4999795636275e-05,5.96401611364213e-05,4.55993787342759e-06,0.0024889660892459,5.04507659729791e-07,1.08998514956932e-05,6.34991348602308e-06,3.26172631654254e-05,1.29998228847717e-05,4.92993283245571e-05,7.89989236843816e-07,1.50997942738502e-05,1.40186247745169e-05,3.39995367755566e-07,4.17994305064196e-06,5.99991825450999e-06,4.76721484688251e-06,2.67996348701446e-05,2.67996348701446e-06,9.69986784479116e-05,2.6999632145295e-05,4.75553457324196e-06
"22",0.716,9.80045176731543e-05,0.161,0.004867,0.00349016751795441,0.0016,0.000126,0.0039,0.05343,0.0356,0.000193,1.89555522104104e-07,2.08e-06,1.38277348503984e-05,3.1e-05,1.987e-05,1.05996525563787e-07,2.7e-05,9.7e-07,0.000196,7.633e-05,3.82e-06,4.82e-06,2.09e-06,1.25e-07,0.0127053075574248,5.333e-05,6.8e-06,5.28396354304402e-06,7.88e-06,1.15735835665483e-08,1.05e-06,2.25e-07,8.38e-06,0.00176,3.44e-07,4.50105157412101e-07,5.867e-05,1.48e-05,1.433e-05,6.833e-05,4.17e-06,0.00246,3.43e-07,9.7e-06,6.58e-06,4.87e-05,1.22e-05,5.3e-05,8.8e-07,1.32e-05,1.73e-05,3.10739688219285e-07,3.91e-06,0,5.09e-06,2.31862186829184e-05,2.52e-06,9.207e-05,4.033e-05,0.00181891751939445
"23",0.71,9.80045176731543e-05,0.1629,0.0038,0.0026,0.0016,0,0.004,0.053,0.0337,0.000208005656389547,1.89555522104104e-07,2e-06,1.4e-05,5.16e-05,2.71e-05,1.05996525563787e-07,2.68e-05,7.12894431653659e-07,0.000196,7.75e-05,5.94644763168052e-06,4.22e-06,1.87e-06,4.20141887945116e-08,0.013634,4.8e-05,3.95e-06,8.5e-06,8e-06,1.2e-08,6.8e-07,2.29947889874878e-07,8.3e-06,0.00191,3.5e-07,4.50105157412101e-07,6.7e-05,1.63e-05,1.6e-05,7.5e-05,4.3e-06,0.00221,4e-07,1e-05,5.9e-06,5.1e-05,1.6e-05,4.7e-05,8.5e-07,1.46e-05,1.77e-05,3.4e-07,4.25e-06,0,5e-06,2.33e-05,2.6e-06,9.3e-05,4.3e-05,0.00933989086459031
"24",0.7174,1e-04,0.1595,0.0043,0.00349016751795441,0.0016,1e-04,0.0041,0.0537,0.0353,4e-04,1.94e-07,1.86470681579814e-06,1.07e-05,5.13708188953349e-05,2.23e-05,1.05996525563787e-07,2.36e-05,5e-07,0.000198,7.52e-05,4.8e-06,3.9e-06,1.55e-06,2e-08,0.0127053075574248,5.55e-05,3.66e-06,5.28396354304402e-06,7.3e-06,1.15735835665483e-08,5.74e-07,2.29947889874878e-07,6.73e-06,0.001348,2.88e-07,3.2e-07,6.37e-05,1.37e-05,1.32e-05,6.53e-05,3.96e-06,0.002325,8e-07,9.4e-06,5.48e-06,1.63e-05,1.14e-05,3.93e-05,7.22e-07,1.23e-05,1.48e-05,2.8e-07,3.32e-06,1.83e-06,5.64e-06,2.17e-05,2.14e-06,8.43e-05,3.72e-05,0.00273074991736766
"25",0.7167,2e-04,0.1608,0.003,0.00349016751795441,0.0018,0.00015,0.0039,0.0538,0.0354,0.00022,1.89555522104104e-07,1.86470681579814e-06,1.155e-05,5.13708188953349e-05,2.218e-05,5.7e-08,2.951e-05,4.59e-07,0.0001741,7.285e-05,4.27e-06,4.5e-06,1.94e-06,1.8e-08,0.0127053075574248,5.42796112396865e-05,4.41e-06,5.28396354304402e-06,7.95e-06,1.15735835665483e-08,6.91e-07,2.29947889874878e-07,8.57e-06,0.001848,3.43e-07,2.73e-07,5.37e-05,1.628e-05,1.527e-05,6.67e-05,4.67e-06,0.004172,4e-07,1.05e-05,6.65e-06,1.52e-05,1.55e-05,1.68e-05,8.4e-07,1.45e-05,1.40186247745169e-05,3.5e-07,4.07e-06,1.66e-06,4.76721484688251e-06,2.29e-05,2.53e-06,9.94e-05,4.62e-05,0.000879717907509958
"26",0.71820897506627,9.99316787346974e-05,0.159890685975516,0.00479672057926548,0.00349016751795441,0.00159890685975516,0.000299795036204092,0.0039972671493879,0.0540630381954713,0.0354757459508176,0.000199863357469395,1.89555522104104e-07,1.86470681579814e-06,1.29911182355107e-05,5.13708188953349e-05,2.2584569353681e-05,1.05996525563787e-07,2.29445888690474e-05,7.12894431653659e-07,0.000191868823170619,7.51263902626567e-05,6.99521751142882e-06,3.97666604785562e-06,1.68550469727799e-06,4.20141887945116e-08,0.0127053075574248,5.09651561546957e-05,4.14626195238653e-06,5.28396354304402e-06,5.99590072408185e-06,1.15735835665483e-08,7.03256655847865e-07,2.29947889874878e-07,8.66769511514358e-06,0.0017328220609474,3.12915870811662e-07,4.50105157412101e-07,5.59617400914306e-05,1.41982025459647e-05,1.49897518102046e-05,6.49555911775533e-05,3.90348851511872e-06,0.00243833296112662,5.04507659729791e-07,1.09924846608167e-05,5.6845421322866e-06,3.26172631654254e-05,1.19918014481637e-05,6.39562743902064e-05,7.52141822226229e-07,3.19781371951032e-05,1.40186247745169e-05,3.10739688219285e-07,0,6.99521751142882e-06,4.76721484688251e-06,2.29842861089804e-05,2.33494720514563e-06,8.89391940738807e-05,3.8973354706532e-05,4.14049069509259e-05
"27",0.715,9.80045176731543e-05,0.162,0.0049,0.00349016751795441,0.0016,0,0.0038,0.0534,0.0359,3e-04,1.89555522104104e-07,1.86470681579814e-06,8.4e-06,1.8e-05,2.2584569353681e-05,1.05996525563787e-07,2.6e-05,7.12894431653659e-07,0.000193193979329641,7.51263902626567e-05,6.2e-06,4e-06,1.8e-06,4.20141887945116e-08,0.0127053075574248,5.42796112396865e-05,3.9e-06,5.28396354304402e-06,7.41003152574269e-06,1.15735835665483e-08,6e-07,2.29947889874878e-07,7.8e-06,0.0015,3.12915870811662e-07,4.50105157412101e-07,6.26749457996001e-05,1.5e-05,1.4087204495371e-05,5.3e-05,4.2e-06,0.0024017301071384,5.04507659729791e-07,8.70646583691898e-06,5.9e-06,3.26172631654254e-05,1.7e-05,4.44228215684003e-05,8e-07,1.3e-05,1.40186247745169e-05,3.10739688219285e-07,3.7e-06,0,4.76721484688251e-06,2.2e-05,2.4e-06,0.00013,0,0.0020171822567342
"28",0.714560413493236,9.80045175996262e-05,0.159992346742812,0.00432411747953547,0.0042258420822733,0.00157240635619471,0,0.00383274049322462,0.0555255994531259,0.0374429263568867,0.000294826191786509,1.8955552196189e-07,1.86470681439914e-06,1.38277348400241e-05,5.13488950694837e-05,2.25845693367369e-05,1.05996525484263e-07,2.8853656636173e-05,7.12894431118808e-07,0.000193140638239342,6.26112555957283e-05,4.91376986310849e-06,4.07842898638004e-06,1.82792238907636e-06,4.91376986310848e-08,0.0127053075478926,5.4279611198963e-05,3.93101589048679e-06,5.28396353907971e-06,7.33134463575786e-06,1.15735835578652e-08,6.28962542477886e-07,2.29947889702358e-07,8.03892749604548e-06,0.00206771435839605,3.43963890417594e-07,4.50105157074409e-07,6.20314307518815e-05,1.59697520551026e-05,1.40872044848021e-05,5.96401610916761e-05,4.43222041652385e-06,0.00240173010533649,5.04507659351283e-07,8.70646583038693e-06,6.13238478915939e-06,3.26172631409542e-05,4.57275423460876e-05,4.42042736885239e-05,7.4689301919249e-07,1.28839045810704e-05,1.29330422797015e-05,3.63618969870028e-07,3.54774184116433e-06,0,4.76721484330589e-06,2.53059147950087e-05,2.37826461374451e-06,9.23788734264395e-05,4.00275693048817e-05,0
